ID,text,target,label,clean_text
ynat-v1_train_00000,정i :파1 미사z KT( 이용기간 2e 단] Q분종U2보,4,IT과학,정의 :패밀리 미사용 KT(이용기간 2개월 단기종료)
ynat-v1_train_00001,K찰.국DLwo 로L3한N% 회장 2 T0&}송=,3,사회,국회의장으로 선출된 회장 2명이 전송
ynat-v1_train_00002,"m 김정) 자주통일 새,?r열1나가야1보",2,정치,북한의 김정은이 주도하는 통일개혁이 필요합니다.
ynat-v1_train_00003,갤노트8 주말 27만대 개통…시장은 불법 보조금 얼룩,5,경제,갤노트8 주말 27만대 판매...시장은 불법 보조금 논란
ynat-v1_train_00004,pI美대선I앞두고 R2fr단 발] $비해 감시 강화,6,세계,미국 대선 앞두고 러시아의 발언비해 감시가 강화되었습니다
ynat-v1_train_00005,美성인 6명 중 1명꼴 배우자·연인 빚 떠안은 적 있다,0,생활문화,미국에서 결혼한 6명 중 1명꼴 배우자·연인 빚 떠안은 적 있다
ynat-v1_train_00006,프로야구~롯TKIAs광주 경기 y천취소,1,스포츠,프로야구 롯데GIAs 광주 경기 연천 취소
ynat-v1_train_00007,아가메즈 33득점 우리카드 KB손해보험 완파…3위 굳...,4,IT과학,Agamez 33점 우리카드 KB손해보험 완패…3위 굳어졌다
ynat-v1_train_00008,朴대통령 얼마나 많이 놀라셨어요…경주 지진현장 방문종합,6,세계,박대통령은 얼마나 많이 놀라셨을까요…경주 지진 현장 방문종합
ynat-v1_train_00009,듀얼심 아이폰 하반기 출시설 솔솔…알뜰폰 기대감,4,IT과학,듀얼심 아이폰이 하반기 출시될 것으로 예상되고 알뜰폰의 기대감이 커지고 있습니다.
ynat-v1_train_00010,oi 매력 R모h츠a열#w3약 >l·주가 고Q/진,5,경제,오일 매력 모멘텀 약세 주가 고점
ynat-v1_train_00011,NH투자 1월 옵션 만기일 매도 우세,1,스포츠,NH투자 1월 옵션 만기일 매각 우세
ynat-v1_train_00012,황총리 각 부처 비상대비태세 철저히 강구해야,2,정치,황 총리는 각 부처가 비상대비 태세를 철저히 강구해야 한다
