text,target
문간 지역에 새로운 문화 축제가 개최되나 관심 집중도 낮다,0
지역 사회의 다양성 증진을 위한 부유물 활용 방안 모색 중,0
"비 오는 주말, 야외 활동 기회가 줄어들어",0
홈 CCQ 수업 첫 주말에 학생들의 부모들 사이에서 호응이 뜨겁다,0
"에메랄드 빛깔의 열대 정글, 끄라비 국립공원에서 새로운 발견 기대감 상승",0
전통적인 만년필 아트가 현대 사회에서 새로운 관심을 받는 가운데,0
장편 소설 '심청'이 영화화되면서 문학계에 새로운 파도가 일 듯,0
"추운 날씨가 전북을 강타해, 최저 기온 78도까지 기록",0
"가나 출신 한국인 가수, 30년 가량의 경력을 자랑하며 등단",0
"한국인 최초로 체바무용단에 입단한 무용수, 김천웅의 업적 기립",0
프로농구리그에서 외국인 선수 교체 활동이 활발히 전개되고 있음,1
국내 농구팀들의 아시안게임 응원에 대한 열기가 고조되고 있음,1
GS칼텍스와 IBK산업은행의 세터 트레이드가 농구 팬들 사이에서 화제가 됨,1
고려대학교 5차 결승전에서 3대 농구 챔피언들이 격돌할 예정,1
프로농구리그 어시스턴트 코치 모집 공고가 발표됨,1
"MLB 판타지 랭킹에서 추신수는 176위, 류현진은 188위에 랭크됨",1
월드컵에서 한국이 짝퉁 잡은 성과에 대해 전문가들은 긍정적 반응 보임,1
LL 스턴 잭 레인키가 MWS 우승 후 8위로 순위 상승,1
셔저가 7이닝 무실 11승을 기록하며 학과 경쟁에 힘을 더함,1
프로농구 팀들의 선수 인력 관리에 있어 외국인 선수 영입의 중요성이 부각됨,1
북한의 경제 발전을 위한 새로운 공단 출현,2
정치적 불안 속에서도 당대회를 앞둔 김정은의 우선 순위,2
국방과 과학 분야 연합체를 구성할 연방정부의 요구,2
한국당 내부 반발에도 불구하고 정개연장 특위 활동 지속,2
4파 간 전대 투표가 한창인 상황,2
일자리 창출을 중점으로 한 새로운 정책 발표,2
남북 간의 관계 악화로 인한 남권의 위기,2
여성이 소수 지위에 오르기 어려운 현실,2
방치된 공세에 대한 대응책 마련 요구,2
북한에 대한 강경한 대응을 주장하는 남권 내 의견 분열,2
아파트 관리비 사기 사건에 대한 법적 조처 강화 추진,3
"LG 전자의 새로운 스마트 TV 라인업, 색다른 디자인으로 주목 받음",4
주식 시장 내 외국인 투자자의 역할 변화에 대한 분석,5
미국과 이란 간의 긴장 고조에 따른 국제사회 불안 증대,6
"타이타닉 뮤지컬, 한국 관객들 앞으로 곧 선보입니다",0
프로야구 SK 신인들의 상시 교육 체계가 새 팀 문화의 기대를 모으고 있다.,1
야구장 내 전시를 앞두고 3인의 특별한 기념관이 30일 개시된다.,1
한국 여축 아시컵에서 한일전이 열렸으나 무승부를 기록했다.,1
아시안게임 여자축구에서 한국은 인도네시아와 맞붙었다.,1
손흥민이 프로야구 시즌 첫 골을 넣으며 모든 상황에 대비했다.,1
야구 경기에서 7번째 타자에 3명이 홈런을 기록했다.,1
광주동성고등학교가 청룡기 우승을 축하하며 5천만원을 후원했다.,1
리 뮌헨이 UC 8강전에서 발맞춰 0-2로 패했다.,1
두산 SK 와이번스의 선발 투수가 불과 롯데 자이언츠에만 등판했다.,1
골 결정력에서 4골 중 1골을 30분 반 만에 넣었다.,1
한반도 지역에서 정치적 격변 속에 새누당의 지지율이 지속적으로 상승하고 있음,2
북한 내부에서는 2명의 고위 간부인 태영자 부부의 영향력이 점차 약화되고 있음,2
북한은 군사 훈련과 외교 행사의 결합을 강화하고 있는 것으로 보임,2
한화에너지가 4차 산업혁신을 주도하는 기술 개발에 앞장서고 있음,2
북한 지도자 김정은은 안정된 표정으로 신년사를 전달하며 내외적 안정을 강조함,2
지역 사회에서 쓰레기 처리 문제에 대한 인식이 높아지고 관리에 힘쓰고 있음,2
"전직 정치인 김재과 김문수의 대선표를 예측하는 여론조사 결과가 나왔는데, 양측의 지지율이 높아 보임",2
사회적 부담을 주는 '굴 두꺼운 2자'에 대한 비판의 목소리가 높아지고 있음,2
"북한의 1UU 위성 발사에 대한 평면도 정보가 공개되었는데, 이는 군사적 위협의 징후로 볼 수 있음",2
지역 사회의 리수 관리에 있어 3부의 협력이 필요하다는 주장이,2
"LGU+의 지속가능경영 실적이 주목받는 가운데, 기업의 사회적 책임(CSR) 활동 중요성 강조",3
청와대가 수사 의뢰에 대해 명확한 입장을 밝힌 것에 대해 전문가들은 긍정적 반응 보임,3
거대한 스포츠 이벤트가 경제 활성화에 기여하는 방안 모색 중,3
평창 동계올림픽을 기념하는 홍보 캠페인이 관광 산업에 긍정적 파급효과 미칠 전망,3
방송 통신 규제 강화에 따른 LGU+의 개별 안건 처리가 방통위의 선례가 됨,3
금감원과 공정거래위원회가 시장의 투명성 확보를 위한 조치 취하는 가운데 기업의 부정행위에 대한 경계 강화,3
설 연휴 기간 동안 가족 단위 해외 여행자 수가 급증하는 추세,3
정부의 항만 운영 정책이 한진해운과 같은 해운사에 부정적 영향을 미치고 있음,3
서 목동 학군 내 4개 학교의 휴업 결정에 대해 학부모들은 우려 표명,3
EBS의 시판 제1 프로그램이 청년 대학생 기자단에 의해 주목받는 가운데,3
"삼성, 폴더블폰 기술 개발 속도 가속화 추진",4
추억의 노키폰 가격 하락에 대한 반응: 소비자들의 기대감 상승,5
터키와 그리스 간의 화해 노력에 총리가 방문,6
미술관에서 추상화 전시회가 열리며 관람객들의 호응을 얻고 있다.,0
대형 판사들이 소규모 법정 업무에 참여하는 추세가 확산되고 있다.,0
천은사의 장료 폐지가 추진되고 있어 시민들의 편의성이 높아질 전망이다.,0
제주도에서 가족 단위의 산책로가 확장되어 관광 활성화에 기여할 것으로 보인다.,0
3살짜리 아이가 쓴 단편 소설이 인기를 끌고 있다.,0
화재 발생으로 인한 재산 피해가 지속되고 있으며 정부의 대응이 요구된다.,0
한복을 입고 황포돛배를 타면 요금이 할인되는 이벤트가 진행 중이다.,0
청년들이 자신의 사업을 조기에 창업하는 문화가 확산되고 있다.,0
