text,target
"서울시립미술관의 추상화 전시가 주목받는 가운데, 지역 미술관들의 문화 콘텐츠 개발에 대한 관심이 높아지고 있다.",0
"강원도 스키장의 겨울철 개장 준비가 한창인데, 관광객들은 추운 날씨에도 불구하고 눈썰매를 즐기기 위해 몰려오고 있다.",0
최근 저가형 휴대폰 시장에서 헬로모바일이 청소년 대상 특별 할인 행사를 펼치면서 경쟁사들과의 가격 전쟁이 가속화되고 있다.,0
"5억 규모의 봄맞이 골프 대회가 서울 등지에서 개최되면서, 골프 산업의 활성화가 기대되고 있다.",0
서울의 풍경을 담은 문학작품 '서울문고 풍그'가 인수되어 라인서점과 교영풍양강도로 전시가 확대되고 있다.,0
"신비로운 치유의 감정 교회가 주목받던 시대가 끝나가고 있는 가운데, 새로운 종교적 경향이 주목받고 있다.",0
"북부 지방의 폭우 경보가 해제된 가운데, 시민들은 평온한 하루를 맞이할 수 있게 되었다.",0
고3 학생들의 수능 준비 기간 중 5주간의,0
프로농구 시즌 개막 후 상위권 팀들의 경쟁이 치열해지고 있음,1
야구계에서 주목받는 신인 선수들의 활약이 주목받고 있음,1
아시안게임에서 박항서가 이끄는 베트남 축구 대표팀이 좋은 성적을 거두고 있음,1
축구계에서는 첼시의 감독 교체 소식이 화제가 되고 있음,1
두산 베어스와 롯데 자이언츠 간의 치열한 경기가 주목받았음,1
프로농구에서 부상 선수 교체 소식이 잇따르고 있음,1
MLB 올스타전에 예우받은 선수들의 감동적인 순간이 연출됨,1
독립리그에서 프로야구 초보자들이 활약하며 주목 받고 있음,1
SK 와이번스의 헤인즈 선수가 1만점을 달성하며 팀의 주목 받음,1
성의주루로 7단을 달성한 야구 선수들에 대한 찬사가 쏟아짐,1
한국 정치의 혼란 속에서 안상회가 반 시회 공화국 핵소동 모의판 난,2
EBS와 대외고등학교 간 협력 강화 추진,3
아파트 관리비 사기 사건에 대한 수사 진행 중,3
세월호 희생자 추모 행사에 정부 관계자 참석,3
SW 교육 활성화를 위한 교사 연구회 모집,3
한주택 브랜드의 공작소 설립 확대 추진,3
중소기업의 규제 완화를 위한 자유특구 분과위원장 간담회 개최,3
"성터키 한국문화원, 8주년 기념 행사 진행",3
"대외고 학생 통학 중 5기사 확진, 29원수 발생",3
IT 기업들이 자체 AI 플랫폼 구축에 적극 나서,3
인공지능 기반 스마트 홈 기기 시장 점유율 상승 추세,3
"삼성, 갤럭시9에 쿼드카메라 탑재 후 세계 시장 점유율 상승",4
"10만 명이 넘는 한국 1Gbps 인터넷 가입자 수, 디지털화 추세 반영",4
"Google Wear의 이름 변경, Android 기반 스마트워치 시장 진출 확대",4
"천진우 연구팀, 67혜성 분리·융합 과정 연구 결과 발표",4
"갤럭시8 체험 존 방문객 160만 명 돌파, 삼성의 마케팅 성공",4
"갤81호 개통 전 5박 7일간 노숙 문제 발생, 통신사 대응 필요",4
